input,init_output,learned_output
11.921922,11.944018,11.944018
11.936937,11.955011,11.955011
11.951952,11.965859,11.965859
11.966967,11.976597,11.976597
11.981982,11.987259,11.987259
11.996997,11.997877,11.997877
12.012012,12.008491,12.008491
12.027027,12.019132,12.019132
12.042042,12.029835,12.029835
12.057057,12.040634,12.040634
12.072072,12.051564,12.051564
12.087087,12.062658,12.062658
12.102102,12.07395,12.07395
12.117117,12.085469,12.085469
12.132133,12.097246,12.097246
12.147147,12.109308,12.109308
12.162162,12.121683,12.121683
12.177177,12.134398,12.134398
12.192192,12.147471,12.147471
12.207207,12.160927,12.160927
12.222222,12.17478,12.17478
12.237237,12.189044,12.189044
12.252253,12.203734,12.203734
12.267267,12.218853,12.218853
12.282282,12.234407,12.234407
12.2972975,12.250397,12.250397
12.312312,12.266815,12.266815
12.327328,12.283656,12.283656
12.342342,12.300905,12.300905
12.357357,12.318546,12.318546
12.372373,12.336557,12.336557
12.387387,12.354913,12.354913
12.402402,12.373582,12.373582
12.417418,12.392534,12.392534
12.432432,12.411728,12.411728
12.447448,12.431128,12.431128
12.462462,12.450688,12.450688
12.477477,12.470366,12.470366
12.492493,12.490114,12.490114
12.507507,12.509886,12.509886
12.522523,12.529634,12.529634
12.537538,12.549311,12.549311
12.552552,12.568871,12.568871
12.567568,12.588271,12.588271
12.582582,12.607466,12.607466
12.597597,12.626415,12.626415
12.612613,12.645086,12.645086
12.627627,12.663442,12.663442
12.642643,12.681453,12.681453
12.657658,12.699094,12.699094
12.672672,12.716343,12.716343
12.687688,12.733184,12.733184
12.7027025,12.749602,12.749602
12.717718,12.765593,12.765593
12.732733,12.781146,12.781146
12.747747,12.796265,12.796265
12.762763,12.810954,12.810954
12.777778,12.825219,12.825219
12.792792,12.839071,12.839071
12.807808,12.852527,12.852527
12.822823,12.865601,12.865601
12.837838,12.878315,12.878315
