input,init_output,learned_output
8.993994,8.995756,8.993495
9.009008,9.006367,9.004235
9.024024,9.016999,9.014989
9.039039,9.027687,9.025791
9.054054,9.0384655,9.036678
9.069069,9.049366,9.047682
9.084084,9.060425,9.058836
9.099099,9.071674,9.070174
9.114114,9.083145,9.081728
9.129129,9.094869,9.093529
9.144144,9.106872,9.105604
9.159159,9.119183,9.117983
9.174174,9.131827,9.13069
9.189189,9.144827,9.143747
9.204204,9.158204,9.157178
9.219219,9.171976,9.1710005
9.234234,9.186158,9.185228
9.249249,9.200762,9.199874
9.264264,9.215795,9.214946
9.279279,9.231261,9.230448
9.294294,9.247164,9.246385
9.309309,9.263497,9.262749
9.324325,9.280255,9.279535
9.339339,9.297424,9.29673
9.354354,9.314988,9.31432
9.3693695,9.332928,9.332282
9.384384,9.351215,9.350592
9.399399,9.369825,9.369223
9.414414,9.388723,9.38814
9.429429,9.407872,9.407308
9.444445,9.427235,9.426688
9.459459,9.446766,9.446237
9.474474,9.466423,9.465912
9.48949,9.486161,9.485666
9.504504,9.505932,9.505455
9.51952,9.525689,9.525229
9.534534,9.545383,9.544941
9.549549,9.564971,9.564545
9.564565,9.584406,9.583998
9.579579,9.603645,9.603252
9.594594,9.622646,9.6222725
9.60961,9.6413765,9.64102
9.624624,9.659797,9.659458
9.63964,9.67788,9.677559
9.6546545,9.695597,9.695293
9.669669,9.712925,9.712641
9.684685,9.72985,9.729584
9.699699,9.746353,9.746107
9.714715,9.76243,9.762201
9.72973,9.77807,9.777863
9.744744,9.793277,9.793088
9.75976,9.808052,9.807882
9.774775,9.8224,9.82225
9.789789,9.836334,9.836205
9.804805,9.849868,9.849758
9.819819,9.863016,9.8629265
9.834835,9.875801,9.875731
9.84985,9.888243,9.888193
9.864864,9.900366,9.900337
9.87988,9.912197,9.9121895
9.894895,9.923765,9.923779
9.90991,9.935099,9.935135
9.924925,9.94623,9.946288
9.9399395,9.957191,9.957271
9.954955,9.968015,9.968117
9.96997,9.978734,9.97886
9.984984,9.989384,9.989533
10.0,10.0,10.000174
10.015015,10.010614,10.010813
10.03003,10.021266,10.021488
10.045045,10.031985,10.032234
10.06006,10.042809,10.043083
10.075075,10.053769,10.054071
10.09009,10.0649,10.065229
10.105105,10.076235,10.076592
10.12012,10.087803,10.088188
10.135135,10.099634,10.100048
10.15015,10.111757,10.112202
10.165165,10.124198,10.124674
10.18018,10.136983,10.137487
10.195195,10.150132,10.150668
10.21021,10.163665,10.164232
10.225225,10.1776,10.178198
10.24024,10.191948,10.192577
10.255255,10.206722,10.207383
10.27027,10.22193,10.22262
10.285285,10.23757,10.238291
10.300301,10.253646,10.254396
10.315315,10.27015,10.270928
10.33033,10.287073,10.28788
10.3453455,10.304403,10.305235
10.36036,10.32212,10.322976
10.375375,10.340202,10.341082
10.39039,10.3586235,10.359524
10.405405,10.377352,10.378271
10.420421,10.396355,10.397291
10.435435,10.415593,10.416544
10.45045,10.435028,10.43599
10.465466,10.454617,10.455588
10.48048,10.474311,10.475289
10.495496,10.494068,10.49505
10.51051,10.513839,10.514822
10.525525,10.533576,10.534558
10.540541,10.553234,10.554213
10.555555,10.572765,10.573737
10.57057,10.592127,10.593089
10.585586,10.611277,10.6122265
10.6006,10.630174,10.631111
10.615616,10.648785,10.649706
10.6306305,10.667072,10.667976
10.645645,10.685011,10.685896
10.660661,10.702576,10.70344
10.675675,10.719746,10.720587
10.690691,10.736503,10.737322
10.705706,10.752836,10.753632
10.72072,10.768738,10.76951
10.735736,10.784205,10.784953
10.750751,10.799238,10.799961
10.765765,10.813841,10.81454
10.780781,10.828023,10.828699
10.795795,10.841795,10.842446
10.810811,10.855173,10.855802
10.825826,10.868174,10.86878
10.84084,10.880817,10.881403
10.855856,10.893128,10.893694
10.870871,10.905131,10.905677
10.885886,10.916855,10.917382
10.900901,10.928326,10.928835
10.9159155,10.939573,10.940069
10.930931,10.950634,10.951115
10.945946,10.961535,10.962003
10.96096,10.972313,10.972769
10.975976,10.983001,10.983446
10.990991,10.993633,10.99407
11.006006,11.004244,11.004675
11.021021,11.014869,11.015293
11.036036,11.025543,11.025963
11.051051,11.036301,11.036716
11.066066,11.047174,11.047588
11.081081,11.0582,11.058614
11.096096,11.069408,11.069822
11.111111,11.080832,11.081249
11.126126,11.092503,11.092922
11.141141,11.104446,11.104872
11.156157,11.116694,11.117125
11.171171,11.129271,11.129705
11.186186,11.142197,11.142641
11.201201,11.1554985,11.155949
11.216216,11.169189,11.16965
11.231231,11.183288,11.183758
11.246246,11.197807,11.198286
11.261261,11.212753,11.213243
11.276277,11.228134,11.228634
11.291291,11.243949,11.244459
11.306306,11.260197,11.260717
11.3213215,11.276871,11.277402
11.336336,11.293959,11.294499
11.351352,11.311445,11.311996
11.366366,11.329311,11.32987
11.381381,11.347531,11.3481
11.396397,11.36608,11.366656
11.411411,11.384922,11.385505
11.426426,11.404023,11.404612
11.441442,11.4233465,11.423939
11.456456,11.442848,11.443443
11.471472,11.462484,11.46308
11.486486,11.482209,11.482806
11.501501,11.501977,11.502573
11.516517,11.521742,11.522335
11.531531,11.541451,11.542041
11.546547,11.561066,11.561649
11.561562,11.580534,11.58111
11.576576,11.599814,11.600383
11.591592,11.618868,11.619427
11.6066065,11.637655,11.638202
11.621621,11.656139,11.656675
11.636637,11.674292,11.674814
11.651651,11.692083,11.692593
11.666667,11.709492,11.709987
11.681682,11.726498,11.726977
11.696696,11.743086,11.743551
11.711712,11.759249,11.759697
11.726727,11.774977,11.775408
11.741742,11.790271,11.790686
11.756757,11.80513,11.805529
11.771771,11.819564,11.819945
11.786787,11.83358,11.833946
11.801802,11.847193,11.847542
11.816816,11.860416,11.860749
11.831832,11.873272,11.873589
11.846847,11.88578,11.886083
11.861862,11.897965,11.8982525
11.876877,11.909853,11.910126
11.8918915,11.921471,11.92173
11.906907,11.93285,11.933095
11.921922,11.944018,11.944252
11.936937,11.955011,11.955233
11.951952,11.965859,11.966068
11.966967,11.976597,11.976795
11.981982,11.987259,11.987446
11.996997,11.997877,11.998056
12.012012,12.008491,12.008659
12.027027,12.019132,12.019291
12.042042,12.029835,12.029987
12.057057,12.040634,12.040779
12.072072,12.051564,12.0517025
12.087087,12.062658,12.06279
12.102102,12.07395,12.074076
12.117117,12.085469,12.085588
12.132133,12.097246,12.097361
12.147147,12.109308,12.109418
12.162162,12.121683,12.121789
12.177177,12.134398,12.1345005
12.192192,12.147471,12.14757
12.207207,12.160927,12.161021
12.222222,12.17478,12.174872
12.237237,12.189044,12.189135
12.252253,12.203734,12.203821
12.267267,12.218853,12.218939
12.282282,12.234407,12.23449
12.2972975,12.250397,12.250478
12.312312,12.266815,12.266895
12.327328,12.283656,12.283735
12.342342,12.300905,12.300982
12.357357,12.318546,12.318623
12.372373,12.336557,12.336634
12.387387,12.354913,12.354986
12.402402,12.373582,12.373654
12.417418,12.392534,12.392605
12.432432,12.411728,12.4117985
12.447448,12.431128,12.431196
12.462462,12.450688,12.450755
12.477477,12.470366,12.47043
12.492493,12.490114,12.490178
12.507507,12.509886,12.509948
12.522523,12.529634,12.5296955
12.537538,12.549311,12.549371
12.552552,12.568871,12.568929
12.567568,12.588271,12.588326
12.582582,12.607466,12.607518
12.597597,12.626415,12.626467
12.612613,12.645086,12.645134
12.627627,12.663442,12.6634865
12.642643,12.681453,12.681496
12.657658,12.699094,12.699133
12.672672,12.716343,12.71638
12.687688,12.733184,12.733218
12.7027025,12.749602,12.749634
12.717718,12.765593,12.765619
12.732733,12.781146,12.78117
12.747747,12.796265,12.796287
12.762763,12.810954,12.810972
12.777778,12.825219,12.825233
12.792792,12.839071,12.839082
12.807808,12.852527,12.852533
12.822823,12.865601,12.8656025
