input,init_output,learned_output
6.291291,6.243949,6.2442765
6.3063064,6.2601967,6.2605352
6.3213215,6.2768707,6.2772207
6.3363366,6.293958,6.2943187
6.3513517,6.311445,6.3118157
6.3663664,6.329311,6.329691
6.3813815,6.3475323,6.3479204
6.3963966,6.36608,6.366476
6.411412,6.384923,6.385325
6.4264264,6.404024,6.4044323
6.4414415,6.4233465,6.423759
6.4564567,6.442848,6.443264
6.471472,6.4624844,6.462902
6.4864864,6.482209,6.482628
6.5015016,6.5019774,6.502396
6.5165167,6.521741,6.522158
6.531532,6.5414524,6.541867
6.546547,6.561065,6.561475
6.5615616,6.580534,6.5809383
6.5765767,6.5998154,6.600213
6.591592,6.6188684,6.619258
6.606607,6.637655,6.638036
6.6216216,6.65614,6.6565113
6.6366367,6.674292,6.674652
6.651652,6.692084,6.6924324
6.666667,6.709492,6.709829
6.6816816,6.726498,6.7268214
6.6966968,6.743087,6.743397
6.711712,6.7592487,6.7595444
6.726727,6.7749777,6.7752585
6.741742,6.790271,6.790537
6.756757,6.805131,6.8053813
6.771772,6.8195643,6.8197994
6.786787,6.833581,6.8338003
6.801802,6.847193,6.8473964
6.816817,6.860417,6.8606043
6.831832,6.873273,6.8734436
6.846847,6.885781,6.8859363
6.861862,6.8979654,6.898105
6.876877,6.909853,6.909976
6.891892,6.921471,6.9215784
6.906907,6.93285,6.932941
6.921922,6.9440193,6.9440947
6.9369373,6.955012,6.9550714
6.951952,6.9658594,6.9659033
6.966967,6.976598,6.9766254
6.981982,6.987259,6.9872713
6.9969974,6.997878,6.9978747
7.012012,7.0084906,7.0084715
7.027027,7.019131,7.0190964
7.0420423,7.0298343,7.0297832
7.0570574,7.040634,7.0405674
7.072072,7.0515647,7.0514817
7.087087,7.0626593,7.06256
7.1021023,7.073951,7.0738354
7.1171174,7.0854692,7.0853376
7.1321325,7.0972457,7.097098
7.147147,7.1093082,7.1091437
7.1621623,7.121684,7.1215034
7.1771774,7.134398,7.134201
7.1921926,7.1474724,7.1472583
7.207207,7.1609273,7.1606965
7.2222223,7.17478,7.174533
7.2372375,7.189045,7.1887817
7.2522526,7.203734,7.2034545
7.267267,7.2188535,7.2185583
7.2822824,7.2344074,7.234097
7.2972975,7.2503963,7.2500706
7.3123126,7.2668157,7.266475
7.3273277,7.283657,7.2833014
7.3423424,7.300906,7.300537
7.3573575,7.3185472,7.3181653
7.3723726,7.336558,7.3361645
7.3873878,7.3549137,7.354509
7.4024024,7.373584,7.373168
7.4174175,7.392534,7.39211
7.4324327,7.4117293,7.4112973
7.447448,7.4311285,7.43069
7.4624624,7.4506884,7.4502435
7.4774776,7.4703665,7.469917
7.4924927,7.490114,7.489661
7.5075073,7.509886,7.509431
7.5225224,7.5296345,7.5291786
7.5375376,7.5493116,7.5488567
7.552552,7.5688715,7.568418
7.5675673,7.588271,7.58782
7.5825825,7.6074657,7.607019
7.5975976,7.6264167,7.625974
7.6126122,7.6450863,7.6446495
7.6276274,7.6634417,7.663011
7.6426425,7.6814528,7.6810293
7.6576576,7.6990943,7.698678
7.6726723,7.7163434,7.7159357
7.6876874,7.733184,7.732785
7.7027025,7.7496033,7.749213
7.7177176,7.7655926,7.765211
7.732733,7.7811465,7.780774
7.7477474,7.7962656,7.7959023
7.7627625,7.810955,7.8106003
7.7777777,7.82522,7.824874
7.792793,7.8390727,7.8387356
7.8078074,7.8525276,7.8521976
7.8228226,7.865602,7.865279
7.8378377,7.8783164,7.878
7.852853,7.8906918,7.890382
7.8678675,7.9027543,7.902449
7.8828826,7.9145308,7.9142303
7.8978977,7.9260497,7.9257536
7.912913,7.9373407,7.937047
7.927928,7.948436,7.948144
7.9429426,7.959366,7.959076
7.9579577,7.9701653,7.9698763
7.972973,7.9808683,7.9805784
7.987988,7.9915094,7.9912176
8.003003,8.002122,8.001827
8.018018,8.012741,8.012444
8.033032,8.023402,8.0231
8.048048,8.034141,8.033833
8.063063,8.044989,8.044675
8.078078,8.055982,8.05566
8.093093,8.06715,8.066821
8.108108,8.078528,8.07819
8.123123,8.090147,8.0898
8.138138,8.102035,8.101676
8.153153,8.11422,8.11385
8.168168,8.126728,8.126346
8.183183,8.139583,8.139188
8.198198,8.152807,8.152399
8.213213,8.166419,8.1659975
8.228228,8.180435,8.179999
8.243243,8.194869,8.194419
8.258258,8.209729,8.209265
8.273273,8.225023,8.224545
8.288288,8.240751,8.240257
8.303303,8.256912,8.256405
8.318318,8.273502,8.27298
8.333333,8.290508,8.289972
8.348349,8.307917,8.307369
8.363363,8.325708,8.325148
8.378378,8.34386,8.343288
8.3933935,8.362346,8.361764
8.408408,8.381132,8.380541
8.423423,8.400185,8.399586
8.438438,8.419466,8.418861
8.453453,8.438934,8.438326
8.468469,8.458549,8.457935
8.483483,8.478258,8.477644
8.498498,8.498022,8.497406
8.513514,8.517791,8.517178
8.528528,8.537516,8.536904
8.543544,8.557153,8.556546
8.558558,8.5766535,8.576053
8.573573,8.595975,8.595383
8.588589,8.615078,8.614494
8.603603,8.633921,8.633347
8.618618,8.652468,8.651906
8.633634,8.670689,8.670139
8.648648,8.688555,8.688019
8.663664,8.706041,8.705521
8.6786785,8.723129,8.722624
8.693693,8.739802,8.739313
8.708709,8.75605,8.755577
8.723723,8.771866,8.771408
8.738739,8.787247,8.786806
8.753754,8.802193,8.801769
8.768768,8.816711,8.816305
8.783784,8.830811,8.830421
8.798799,8.8445015,8.844129
8.813813,8.857801,8.857445
8.828829,8.870729,8.87039
8.843843,8.883306,8.882981
8.858859,8.895554,8.895244
8.873874,8.907497,8.907203
8.888888,8.9191675,8.918887
8.903904,8.930592,8.9303255
8.918919,8.9418,8.941546
8.933934,8.952826,8.952585
8.948949,8.963699,8.96347
8.9639635,8.974457,8.974238
8.978979,8.98513,8.984922
8.993994,8.995756,8.995558
9.009008,9.006367,9.006178
9.024024,9.016999,9.016819
9.039039,9.027687,9.027514
9.054054,9.0384655,9.0383
9.069069,9.049366,9.049208
9.084084,9.060425,9.060273
9.099099,9.071674,9.071528
9.114114,9.083145,9.083004
9.129129,9.094869,9.094732
9.144144,9.106872,9.106739
9.159159,9.119183,9.119053
9.174174,9.131827,9.1317005
9.189189,9.144827,9.144704
9.204204,9.158204,9.158083
9.219219,9.171976,9.171858
9.234234,9.186158,9.186041
9.249249,9.200762,9.200646
9.264264,9.215795,9.21568
9.279279,9.231261,9.231148
9.294294,9.247164,9.247052
9.309309,9.263497,9.263386
9.324325,9.280255,9.280144
9.339339,9.297424,9.297314
9.354354,9.314988,9.314878
9.3693695,9.332928,9.332818
9.384384,9.351215,9.351107
9.399399,9.369825,9.369717
9.414414,9.388723,9.388615
9.429429,9.407872,9.4077635
9.444445,9.427235,9.427126
9.459459,9.446766,9.446659
9.474474,9.466423,9.466316
9.48949,9.486161,9.486055
9.504504,9.505932,9.505828
9.51952,9.525689,9.525587
9.534534,9.545383,9.545282
9.549549,9.564971,9.564872
9.564565,9.584406,9.58431
9.579579,9.603645,9.603549
9.594594,9.622646,9.622554
9.60961,9.6413765,9.641286
9.624624,9.659797,9.659708
9.63964,9.67788,9.6777935
9.6546545,9.695597,9.695513
9.669669,9.712925,9.712845
9.684685,9.72985,9.729772
9.699699,9.746353,9.746279
9.714715,9.76243,9.762358
9.72973,9.77807,9.778001
9.744744,9.793277,9.79321
9.75976,9.808052,9.807987
9.774775,9.8224,9.822339
9.789789,9.836334,9.836277
9.804805,9.849868,9.849813
9.819819,9.863016,9.862964
9.834835,9.875801,9.8757515
9.84985,9.888243,9.888196
9.864864,9.900366,9.900321
9.87988,9.912197,9.912155
9.894895,9.923765,9.923725
9.90991,9.935099,9.935062
9.924925,9.94623,9.946196
9.9399395,9.957191,9.957158
9.954955,9.968015,9.967984
9.96997,9.978734,9.978706
9.984984,9.989384,9.989357
10.0,10.0,9.999975
10.015015,10.010614,10.0105915
10.03003,10.021266,10.021244
10.045045,10.031985,10.031965
10.06006,10.042809,10.042789
10.075075,10.053769,10.053752
10.09009,10.0649,10.064884
10.105105,10.076235,10.07622
10.12012,10.087803,10.08779
10.135135,10.099634,10.099621
10.15015,10.111757,10.111746
10.165165,10.124198,10.124187
10.18018,10.136983,10.136972
10.195195,10.150132,10.150124
10.21021,10.163665,10.163656
10.225225,10.1776,10.177592
10.24024,10.191948,10.191942
10.255255,10.206722,10.206717
10.27027,10.22193,10.221924
10.285285,10.23757,10.237566
10.300301,10.253646,10.253642
10.315315,10.27015,10.270146
10.33033,10.287073,10.28707
10.3453455,10.304403,10.3044
10.36036,10.32212,10.322118
10.375375,10.340202,10.340199
10.39039,10.3586235,10.358622
10.405405,10.377352,10.37735
10.420421,10.396355,10.396355
10.435435,10.415593,10.415592
10.45045,10.435028,10.435027
10.465466,10.454617,10.454616
10.48048,10.474311,10.47431
10.495496,10.494068,10.494068
10.51051,10.513839,10.513839
10.525525,10.533576,10.533576
10.540541,10.553234,10.553234
10.555555,10.572765,10.572765
10.57057,10.592127,10.592127
10.585586,10.611277,10.611277
10.6006,10.630174,10.630174
10.615616,10.648785,10.648785
10.6306305,10.667072,10.667072
10.645645,10.685011,10.68501
10.660661,10.702576,10.702576
10.675675,10.719746,10.719744
10.690691,10.736503,10.736502
10.705706,10.752836,10.752834
10.72072,10.768738,10.768736
10.735736,10.784205,10.784203
10.750751,10.799238,10.799235
10.765765,10.813841,10.813837
10.780781,10.828023,10.82802
10.795795,10.841795,10.841791
10.810811,10.855173,10.855168
10.825826,10.868174,10.868168
10.84084,10.880817,10.880812
10.855856,10.893128,10.893123
10.870871,10.905131,10.905125
10.885886,10.916855,10.916847
10.900901,10.928326,10.928316
10.9159155,10.939573,10.939566
10.930931,10.950634,10.9506235
10.945946,10.961535,10.961525
10.96096,10.972313,10.9723015
10.975976,10.983001,10.982988
10.990991,10.993633,10.99362
11.006006,11.004244,11.0042305
11.021021,11.014869,11.014854
11.036036,11.025543,11.025526
11.051051,11.036301,11.0362835
11.066066,11.047174,11.047156
11.081081,11.0582,11.05818
11.096096,11.069408,11.069387
11.111111,11.080832,11.080811
11.126126,11.092503,11.092479
11.141141,11.104446,11.104422
11.156157,11.116694,11.116669
11.171171,11.129271,11.129244
11.186186,11.142197,11.142168
11.201201,11.1554985,11.155468
11.216216,11.169189,11.169158
